"species_id","region","taxa","species_name","synonym1","synonym2","family","de_name1","de_name2","de_name3","de_name4","comment"
"ALBP001Amil","ALB","plant","Achillea_millefolium",NA,NA,"Asteraceae","Wiesen-Schafgarbe","Gewöhnliche Schafgarbe",NA,NA,"aggr."
"ALBP002Aarv","ALB","plant","Acinos_arvensis","Calamintha_acinos",NA,"Lamiaceae","Feld-Steinquendel","Gemeiner Steinquendel",NA,NA,NA
"ALBP003Apod","ALB","plant","Aegopodium_podagraria",NA,NA,"Apiaceae","Gewöhnlicher Giersch","Gewöhnlicher Geißfuß",NA,NA,NA
"ALBP004Aeup","ALB","plant","Agrimonia_eupatoria",NA,NA,"Rosaceae","Gewöhnliche Odermennig",NA,NA,NA,NA
"ALBP008Arep","ALB","plant","Ajuga_reptans",NA,NA,"Lamiaceae","Kriechende Günsel",NA,NA,NA,NA
"ALBP010Apra","ALB","plant","Alopecurus_pratensis",NA,NA,"Poaceae","Wiesen-Fuchsschwanz",NA,NA,NA,NA
"ALBP014Aodo","ALB","plant","Anthoxanthum_odoratum",NA,NA,"Poaceae","Gewöhnliche Ruchgras",NA,NA,NA,NA
"ALBP015Asyl","ALB","plant","Anthriscus_sylvestris",NA,NA,"Apiaceae","Wiesen-Kerbel",NA,NA,NA,NA
"ALBP016Avul","ALB","plant","Anthyllis_vulneraria",NA,NA,"Fabaceae","Gewöhnlicher Wundklee",NA,NA,NA,NA
"ALBP023Aser","ALB","plant","Arenaria_serpyllifolia",NA,NA,"Asteraceae","Quendel-Sandkraut",NA,NA,NA,NA
"ALBP025Aela","ALB","plant","Arrhenatherum_elatius",NA,NA,"Poaceae","Glatthafer","Französisches Raygras",NA,NA,NA
"ALBP026Acyn","ALB","plant","Asperula_cynanchica",NA,NA,"Rubiaceae","Hügel-Meister","Hügel-Meier",NA,NA,NA
"ALBP029Bper","ALB","plant","Bellis_perennis",NA,NA,"Asteraceae","Gänseblümchen",NA,NA,NA,NA
"ALBP031Boff","ALB","plant","Betonica_officinalis",NA,NA,"Lamiaceae","Heilziest","Heil-Ziest",NA,NA,NA
"ALBP032Boff","ALB","plant","Bistorta_officinalis","Persicaria_bistorta","Polygonum_bistorta","Polygonaceae","Wiesen-Knöterich","Schlangen-Knöterich","Schlangen-Wiesenknöterich",NA,NA
"ALBP033Bpin","ALB","plant","Brachypodium_pinnatum",NA,NA,"Poaceae","Fieder-Zwenke",NA,NA,NA,NA
"ALBP035Bmed","ALB","plant","Briza_media",NA,NA,"Poaceae","Zittergras",NA,NA,NA,NA
"ALBP036Bere","ALB","plant","Bromus_erectus",NA,NA,"Poaceae","Aufrechte Trespe",NA,NA,NA,NA
"ALBP037Bhor","ALB","plant","Bromus_hordeaceus",NA,NA,"Poaceae","Weiche Trespe",NA,NA,NA,"aggr. incl B. Commutatus"
"ALBP041Cpat","ALB","plant","Campanula_patula",NA,NA,"Campanulaceae","Wiesen-Glockenblume",NA,NA,NA,NA
"ALBP043Crot","ALB","plant","Campanula_rotundifolia",NA,NA,"Campanulaceae","Rundblättrige Glockenblume",NA,NA,NA,NA
"ALBP045Cbur","ALB","plant","Capsella_bursa_pastoris","Capsella_bursa-pastoris",NA,"Brassicaceae","Hirtentäschel",NA,NA,NA,NA
"ALBP047Cpra","ALB","plant","Cardamine_pratensis",NA,NA,"Brassicaceae","Wiesen-Schaumkraut",NA,NA,NA,NA
"ALBP049Cfla","ALB","plant","Carex_flacca",NA,NA,"Cyperaceae","Blau-Segge",NA,NA,NA,NA
"ALBP051Cmon","ALB","plant","Carex_montana",NA,NA,"Cyperaceae","Berg-Segge",NA,NA,NA,NA
"ALBP052Csyl","ALB","plant","Carex_sylvatica",NA,NA,"Cyperaceae","Wald-Segge",NA,NA,NA,NA
"ALBP053Caca","ALB","plant","Carlina_acaulis",NA,NA,"Asteraceae","Silberdistel","Große Wetterdistel","Hochstengelige Eberwurz",NA,NA
"ALBP054Cvul","ALB","plant","Carlina_vulgaris",NA,NA,"Asteraceae","Golddistel","Kleine Wetterdistel",NA,NA,NA
"ALBP055Ccar","ALB","plant","Carum_carvi",NA,NA,"Apiaceae","Wiesen-Kümmel",NA,NA,NA,NA
"ALBP059Carv","ALB","plant","Cerastium_arvense",NA,NA,"Caryophyllaceae","Acker-Hornkraut",NA,NA,NA,NA
"ALBP060Chol","ALB","plant","Cerastium_holosteoides","Cerastium_fontanum",NA,"Caryophyllaceae","Gewöhnliches Hornkraut",NA,NA,NA,NA
"ALBP065Caca","ALB","plant","Cirsium_acaule","Cirsium_acaulon",NA,"Asteraceae","Stängellose Kratzdistel",NA,NA,NA,NA
"ALBP066Carv","ALB","plant","Cirsium_arvense",NA,NA,"Asteraceae","Acker-Kratzdistel",NA,NA,NA,NA
"ALBP067Ceri","ALB","plant","Cirsium_eriophorum",NA,NA,"Asteraceae","Wollköpfige Kratzdistel",NA,NA,NA,NA
"ALBP069Cpal","ALB","plant","Cirsium_palustre",NA,NA,"Asteraceae","Sumpf-Kratzdistel",NA,NA,NA,NA
"ALBP070Cvul","ALB","plant","Cirsium_vulgare",NA,NA,"Asteraceae","Gewöhnliche Kratzdistel",NA,NA,NA,NA
"ALBP071Caut","ALB","plant","Colchicum_autumnale",NA,NA,"Colchicaceae","Herbst-Zeitlose",NA,NA,NA,NA
"ALBP072Carv","ALB","plant","Convolvulus_arvensis",NA,NA,"Convolvulaceae","Acker-Winde",NA,NA,NA,NA
"ALBP075Cbie","ALB","plant","Crepis_biennis",NA,NA,"Asteraceae","Wiesen-Pippau","Zweijähriger Pippau",NA,NA,NA
"ALBP077Clae","ALB","plant","Cruciata_laevipes",NA,NA,"Rubiaceae","Kreuz-Labkraut",NA,NA,NA,NA
"ALBP078Dglo","ALB","plant","Dactylis_glomerata",NA,NA,"Poaceae","Wiesen-Knäuelgras",NA,NA,NA,NA
"ALBP079Dcar","ALB","plant","Daucus_carota","Daucus_carota_subsp._carota","0.749","Apiaceae","Wilde Möhre",NA,NA,NA,"subsp. carota"
"ALBP080Dces","ALB","plant","Deschampsia_cespitosa",NA,NA,"Poaceae","Rasen-Schmiele",NA,NA,NA,NA
"ALBP090Ecyp","ALB","plant","Euphorbia_cyparissias",NA,NA,"Euphorbiaceae","Zypressen-Wolfsmilch",NA,NA,NA,NA
"ALBP093Eros","ALB","plant","Euphrasia_rostkoviana","Euphrasia_officinalis_aggr.",NA,"Euphorbiaceae","Wiesen-Augentrost",NA,NA,NA,"aggr."
"ALBP098Fovi","ALB","plant","Festuca_ovina",NA,NA,"Poaceae","Schaf-Schwingel",NA,NA,NA,"aggr."
"ALBP099Fpra","ALB","plant","Festuca_pratensis",NA,NA,"Poaceae","Wiesen-Schwingel",NA,NA,NA,NA
"ALBP100Frub","ALB","plant","Festuca_rubra",NA,NA,"Poaceae","Roter Schwingel",NA,NA,NA,"aggr."
