species	abundance	interval	survey	region	EPID	PlotID	date	time	temperature	wind_speed	sunshine	cloud_cover	flower_cover	veg_hight	but_moth	activity
Adscita geryon	1	2	2	A	AEG22	A45310	25.06.08	10:45	26	1	30	10	10	40	M	day
Adscita geryon	1	1	2	A	AEG22	A45310	25.06.08	10:45	26	1	30	10	10	40	M	day
Adscita geryon	2	1	1	A	AEG44	A33605	29.05.08	11:20	24	1	5	80	30	40	M	day
Adscita geryon	2	4	1	A	AEG44	A33605	29.05.08	11:20	24	1	5	80	30	40	M	day
Adscita geryon	1	6	1	A	AEG44	A33605	29.05.08	11:20	24	1	5	80	30	40	M	day
Adscita sp	1	1	1	A	AEG38	A32042	28.05.08	16:30	21	1	25	20	15	50	M	day
Adscita sp	1	4	1	A	AEG38	A32042	28.05.08	16:30	21	1	25	20	15	50	M	day
Agrotis exclamationis	1	2	2	A	AEG25	A7116	29.06.08	16:10	26	1.5	25	10	18	12	M	day
Anthocharis cardamines	1	3	1	H	HEG47	H2818	31.05.08	14:00	22	3	0	100	15	80	B	day
Anthocharis cardamines	2	6	1	S	SEG03	S526	11.05.08	15:10	26	1.5	25	20	15	15	B	day
Apatura iris	1	3	2	H	HEG34	H30402	06.07.08	11:00	21	1.5	10	70	20	12	B	day
Aphantopus hyperantus	1	1	2	A	AEG02	A39275	29.06.08	10:00	10.5	1.5	30	30	25	12	B	day
Aphantopus hyperantus	2	4	2	A	AEG02	A39275	29.06.08	10:00	10.5	1.5	30	30	25	12	B	day
Aphantopus hyperantus	1	4	2	A	AEG04	A31160	26.06.08	11:15	24	1	5	70	6	40	B	day
Aphantopus hyperantus	1	6	2	A	AEG04	A31160	26.06.08	11:15	24	1	5	70	6	40	B	day
Aphantopus hyperantus	2	1	2	A	AEG05	A34237	26.06.08	17:00	23	0	20	40	5	30	B	day
Aphantopus hyperantus	4	2	2	A	AEG05	A34237	26.06.08	17:00	23	0	20	40	5	30	B	day
Aphantopus hyperantus	1	1	2	A	AEG06	A34651	27.06.08	14:30	24	2	30	30	8	70	B	day
Aphantopus hyperantus	2	4	2	A	AEG06	A34651	27.06.08	14:30	24	2	30	30	8	70	B	day
Aphantopus hyperantus	1	6	2	A	AEG06	A34651	27.06.08	14:30	24	2	30	30	8	70	B	day
Aphantopus hyperantus	1	1	2	A	AEG09	A43687	30.06.08	16:05	22	1	25	30	10	8	B	day
Aphantopus hyperantus	1	6	2	A	AEG09	A43687	30.06.08	16:05	22	1	25	30	10	8	B	day
Aphantopus hyperantus	1	4	2	A	AEG10	A8338	29.06.08	15:10	25	1.5	25	30	20	8	B	day
Aphantopus hyperantus	1	3	2	A	AEG15	A35767	28.06.08	12:30	22	1	20	60	25	11	B	day
Aphantopus hyperantus	3	1	2	A	AEG20	A21699	28.06.08	13:45	24.5	1	20	60	4	20	B	day
Aphantopus hyperantus	3	2	2	A	AEG20	A21699	28.06.08	13:45	24.5	1	20	60	4	20	B	day
Aphantopus hyperantus	4	4	2	A	AEG20	A21699	28.06.08	13:45	24.5	1	20	60	4	20	B	day
Aphantopus hyperantus	2	5	2	A	AEG20	A21699	28.06.08	13:45	24.5	1	20	60	4	20	B	day
Aphantopus hyperantus	1	6	2	A	AEG20	A21699	28.06.08	13:45	24.5	1	20	60	4	20	B	day
Aphantopus hyperantus	8	1	2	A	AEG22	A45310	25.06.08	10:45	26	1	30	10	10	40	B	day
Aphantopus hyperantus	3	2	2	A	AEG22	A45310	25.06.08	10:45	26	1	30	10	10	40	B	day
Aphantopus hyperantus	5	3	2	A	AEG22	A45310	25.06.08	10:45	26	1	30	10	10	40	B	day
Aphantopus hyperantus	8	4	2	A	AEG22	A45310	25.06.08	10:45	26	1	30	10	10	40	B	day
Aphantopus hyperantus	3	5	2	A	AEG22	A45310	25.06.08	10:45	26	1	30	10	10	40	B	day
Aphantopus hyperantus	2	6	2	A	AEG22	A45310	25.06.08	10:45	26	1	30	10	10	40	B	day
Aphantopus hyperantus	1	4	3	A	AEG25	A7116	29.07.08	11:00	23	1	0	100	15	12	B	day
Aphantopus hyperantus	2	1	2	A	AEG26	A28932	26.06.08	12:30	23	1	10	70	15	11	B	day
Aphantopus hyperantus	2	4	2	A	AEG26	A28932	26.06.08	12:30	23	1	10	70	15	11	B	day
Aphantopus hyperantus	1	5	2	A	AEG26	A28932	26.06.08	12:30	23	1	10	70	15	11	B	day
Aphantopus hyperantus	1	2	2	A	AEG27	A40320	30.06.08	13:45	23	1	5	50	25	15	B	day
Aphantopus hyperantus	1	3	2	A	AEG27	A40320	30.06.08	13:45	23	1	5	50	25	15	B	day
Aphantopus hyperantus	2	4	2	A	AEG27	A40320	30.06.08	13:45	23	1	5	50	25	15	B	day
Aphantopus hyperantus	6	1	2	A	AEG30	A36956	28.06.08	10:00	20	1	5	90	15	50	B	day
Aphantopus hyperantus	5	2	2	A	AEG30	A36956	28.06.08	10:00	20	1	5	90	15	50	B	day
Aphantopus hyperantus	6	3	2	A	AEG30	A36956	28.06.08	10:00	20	1	5	90	15	50	B	day
Aphantopus hyperantus	5	4	2	A	AEG30	A36956	28.06.08	10:00	20	1	5	90	15	50	B	day
Aphantopus hyperantus	8	5	2	A	AEG30	A36956	28.06.08	10:00	20	1	5	90	15	50	B	day
Aphantopus hyperantus	14	6	2	A	AEG30	A36956	28.06.08	10:00	20	1	5	90	15	50	B	day
Aphantopus hyperantus	2	3	2	A	AEG31	A37367	28.06.08	11:20	22.5	2.5	20	50	10	30	B	day
Aphantopus hyperantus	4	4	2	A	AEG31	A37367	28.06.08	11:20	22.5	2.5	20	50	10	30	B	day
Aphantopus hyperantus	4	5	2	A	AEG31	A37367	28.06.08	11:20	22.5	2.5	20	50	10	30	B	day
Aphantopus hyperantus	8	6	2	A	AEG31	A37367	28.06.08	11:20	22.5	2.5	20	50	10	30	B	day
Aphantopus hyperantus	4	1	2	A	AEG31	A37367	28.06.08	11:20	22.5	2.5	20	50	10	30	B	day
Aphantopus hyperantus	2	2	2	A	AEG31	A37367	28.06.08	11:20	22.5	2.5	20	50	10	30	B	day
Aphantopus hyperantus	10	1	2	A	AEG32	A41172	01.07.08	11:30	23	1.5	30	10	15	70	B	day
Aphantopus hyperantus	10	2	2	A	AEG32	A41172	01.07.08	11:30	23	1.5	30	10	15	70	B	day
Aphantopus hyperantus	20	3	2	A	AEG32	A41172	01.07.08	11:30	23	1.5	30	10	15	70	B	day
Aphantopus hyperantus	10	4	2	A	AEG32	A41172	01.07.08	11:30	23	1.5	30	10	15	70	B	day
Aphantopus hyperantus	14	5	2	A	AEG32	A41172	01.07.08	11:30	23	1.5	30	10	15	70	B	day
